IsCanceled,LeadTime,arrival_date,StaysInWeekendNights,StaysInWeekNights,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,CustomerType,ADR,TotalOfSpecialRequests
0,132,2015-07-23,0,1,0,0,A,A,0,No Deposit,Transient-Party,90,0
0,132,2015-07-23,0,1,0,0,A,A,0,No Deposit,Transient-Party,90,0
0,132,2015-07-23,0,1,0,0,A,B,0,No Deposit,Transient-Party,90,0
0,132,2015-07-23,0,1,0,0,A,A,0,No Deposit,Transient-Party,90,0
0,110,2015-07-23,0,1,0,0,B,D,0,No Deposit,Transient-Party,98.2,1
0,132,2015-07-23,0,1,0,0,A,B,0,No Deposit,Transient-Party,90,0
0,132,2015-07-23,0,1,0,0,A,A,0,No Deposit,Transient-Party,90,0
0,132,2015-07-23,0,1,0,0,A,A,0,No Deposit,Transient-Party,90,0
1,2,2015-07-23,1,3,0,0,A,A,0,No Deposit,Transient-Party,17.6,0
0,0,2015-07-24,0,2,0,0,D,A,0,No Deposit,Transient,0,1
0,15,2015-07-25,0,1,0,0,A,A,0,No Deposit,Transient-Party,0,0
0,16,2015-07-25,2,1,0,0,A,A,2,No Deposit,Transient-Party,63,0
1,110,2015-07-25,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,110,2015-07-25,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,110,2015-07-25,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,110,2015-07-25,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,16,2015-07-25,2,1,0,0,A,A,0,No Deposit,Transient-Party,86,0
0,19,2015-07-25,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,1
0,16,2015-07-25,2,2,0,0,A,K,4,No Deposit,Transient-Party,63,0
0,19,2015-07-25,2,2,0,0,A,D,1,No Deposit,Transient-Party,60,0
1,19,2015-07-25,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,19,2015-07-25,2,2,0,0,A,B,0,No Deposit,Transient-Party,62,1
0,19,2015-07-25,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,125,2015-07-26,1,0,0,0,A,A,0,No Deposit,Transient,85.5,0
0,0,2015-07-26,1,0,0,0,A,D,0,No Deposit,Transient,0,0
0,25,2015-07-27,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,25,2015-07-27,1,1,0,0,A,A,1,No Deposit,Transient-Party,60,0
1,27,2015-07-27,1,1,0,0,A,A,0,Non Refund,Transient-Party,62,0
0,25,2015-07-27,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,25,2015-07-27,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,25,2015-07-27,1,1,0,0,A,A,0,No Deposit,Transient-Party,60,0
1,25,2015-07-27,1,1,0,0,A,A,0,No Deposit,Transient-Party,84,0
0,0,2015-07-27,1,2,0,0,A,A,1,No Deposit,Transient,75,0
0,114,2015-07-27,1,2,0,0,A,A,1,No Deposit,Transient,76.5,2
0,0,2015-07-28,0,2,0,0,A,F,0,No Deposit,Transient,0,0
1,106,2015-07-29,2,5,0,0,A,A,0,No Deposit,Transient,106.75,2
1,92,2015-07-31,0,1,0,0,A,A,0,No Deposit,Transient,76.5,1
0,100,2015-07-31,0,2,0,0,A,A,0,No Deposit,Transient,55.96,1
0,80,2015-07-31,2,7,0,0,A,A,0,No Deposit,Transient-Party,63.46,0
0,117,2015-08-01,2,1,0,0,B,B,1,No Deposit,Transient-Party,89.75,0
1,117,2015-08-01,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,117,2015-08-01,2,1,0,0,A,A,1,No Deposit,Transient-Party,72.5,0
1,117,2015-08-01,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,117,2015-08-01,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,117,2015-08-01,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,6,2015-08-03,1,0,0,0,B,B,0,No Deposit,Transient,75,1
0,7,2015-08-03,1,2,0,0,F,F,0,No Deposit,Transient,0,2
1,76,2015-08-03,1,2,0,0,A,A,0,Non Refund,Transient,12,0
1,28,2015-08-03,1,3,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,28,2015-08-03,1,3,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,28,2015-08-03,1,3,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,28,2015-08-03,1,3,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,28,2015-08-03,1,3,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,28,2015-08-03,1,3,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,81,2015-08-03,5,12,0,0,A,A,0,No Deposit,Transient,76.5,1
0,28,2015-08-03,1,3,0,0,A,D,1,No Deposit,Transient-Party,84,0
0,0,2015-08-04,0,2,0,0,A,A,1,No Deposit,Contract,80,1
1,0,2015-08-04,0,1,0,0,A,A,0,No Deposit,Transient,0,0
1,1,2015-08-04,0,2,0,0,A,A,0,No Deposit,Group,65,0
1,34,2015-08-05,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,1,2015-08-05,0,1,0,0,A,A,1,No Deposit,Transient,75,1
0,0,2015-08-05,0,1,0,0,A,A,0,No Deposit,Transient,0,0
0,34,2015-08-05,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,34,2015-08-05,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,141,2015-08-05,0,2,0,0,A,D,0,No Deposit,Transient,85.5,1
1,34,2015-08-05,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,119,2015-08-05,0,2,0,0,A,D,0,No Deposit,Transient,76.5,0
0,34,2015-08-05,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,34,2015-08-05,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,12,2015-08-05,0,3,0,0,A,D,0,No Deposit,Transient-Party,65,0
0,12,2015-08-05,0,3,0,0,A,D,0,No Deposit,Transient-Party,65,0
0,12,2015-08-05,0,3,0,0,A,A,0,No Deposit,Transient-Party,65,0
0,12,2015-08-05,0,3,0,0,A,A,0,No Deposit,Transient-Party,65,0
0,12,2015-08-05,0,3,0,0,A,A,0,No Deposit,Transient-Party,65,0
0,12,2015-08-05,0,3,0,0,A,A,0,No Deposit,Transient-Party,65,0
0,12,2015-08-05,0,3,0,0,A,A,0,No Deposit,Transient-Party,65,0
0,83,2015-08-05,1,4,0,0,A,D,0,No Deposit,Transient-Party,85.5,1
0,6,2015-08-05,2,4,0,0,A,A,0,No Deposit,Transient,70,0
0,0,2015-08-06,0,1,0,0,A,A,0,No Deposit,Transient,81,0
0,0,2015-08-06,0,1,0,0,A,A,0,No Deposit,Contract,90,2
1,84,2015-08-06,0,3,0,0,A,A,0,No Deposit,Transient,76.5,1
0,3,2015-08-07,0,1,0,0,A,A,0,No Deposit,Transient,75,0
1,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,1,2015-08-07,0,2,0,0,A,A,0,No Deposit,Contract,80,1
0,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,36,2015-08-07,0,2,0,0,A,D,1,No Deposit,Transient-Party,84,1
0,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,0,0
0,1,2015-08-07,0,2,0,0,A,A,0,No Deposit,Contract,81,1
0,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,0,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient,98,0
0,36,2015-08-07,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,0,2015-08-08,0,1,0,0,F,F,1,No Deposit,Transient,153,0
0,0,2015-08-08,0,1,0,0,A,A,0,No Deposit,Transient,89,1
0,0,2015-08-08,1,1,0,0,A,D,1,No Deposit,Transient,75,0
0,1,2015-08-08,1,1,0,0,A,D,0,No Deposit,Transient,75,1
0,1,2015-08-08,1,1,0,0,A,D,0,No Deposit,Contract,90,2
0,128,2015-08-08,1,1,0,0,A,D,0,No Deposit,Transient-Party,76.5,2
0,124,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,30,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,86,0
1,124,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,103,2015-08-08,1,1,0,0,A,A,0,No Deposit,Transient,76.5,1
0,124,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,30,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,86,0
0,124,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,124,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,4,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,124,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,124,2015-08-08,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,16,2015-08-08,2,2,0,0,A,D,0,No Deposit,Transient-Party,62,0
1,16,2015-08-08,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,16,2015-08-08,2,2,0,0,A,A,0,No Deposit,Transient-Party,0,0
0,16,2015-08-08,2,2,0,0,A,D,0,No Deposit,Transient-Party,62,0
1,16,2015-08-08,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,16,2015-08-08,2,2,0,0,A,B,0,No Deposit,Transient-Party,62,0
0,16,2015-08-08,2,2,0,0,A,D,0,No Deposit,Transient-Party,62,0
0,16,2015-08-08,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,16,2015-08-08,2,2,0,0,A,A,1,No Deposit,Transient-Party,60,0
0,1,2015-08-08,2,5,0,0,A,A,0,No Deposit,Contract,88,2
0,4,2015-08-09,1,0,0,0,A,A,2,No Deposit,Transient,75,0
0,0,2015-08-09,2,0,0,0,F,B,0,No Deposit,Contract,0,0
0,2,2015-08-09,2,0,0,0,A,A,0,No Deposit,Contract,99,2
0,1,2015-08-09,2,2,0,0,A,D,0,No Deposit,Transient,89,1
0,0,2015-08-10,1,0,0,0,A,A,1,No Deposit,Transient,115,0
0,0,2015-08-10,1,0,0,0,A,A,0,No Deposit,Transient,115,0
0,39,2015-08-10,1,1,0,0,A,D,0,No Deposit,Transient-Party,62,1
0,3,2015-08-10,1,1,0,0,A,A,0,No Deposit,Transient,75,0
0,39,2015-08-10,1,1,0,0,A,D,0,No Deposit,Transient-Party,62,0
0,1,2015-08-10,1,1,0,0,A,D,0,No Deposit,Contract,105,1
0,39,2015-08-10,1,1,0,0,A,D,0,No Deposit,Transient-Party,62,0
0,2,2015-08-10,1,1,0,0,A,D,0,No Deposit,Transient,98,1
0,1,2015-08-10,1,1,0,0,B,B,1,No Deposit,Transient-Party,9,0
0,39,2015-08-10,1,1,0,0,A,D,0,No Deposit,Transient-Party,62,1
1,121,2015-08-10,1,2,0,0,A,A,0,No Deposit,Transient,76.5,0
1,5,2015-08-10,1,4,0,0,A,A,0,No Deposit,Contract,90,0
0,6,2015-08-10,1,5,0,0,A,B,0,No Deposit,Contract,80,1
0,0,2015-08-10,2,5,0,0,A,A,0,No Deposit,Transient,75,1
0,140,2015-08-10,3,6,0,0,A,A,0,No Deposit,Transient,76.5,2
0,0,2015-08-11,0,0,0,0,A,E,1,No Deposit,Transient,0,0
0,1,2015-08-11,0,1,0,0,A,A,0,No Deposit,Transient,124,0
0,0,2015-08-11,0,1,0,0,A,A,0,No Deposit,Transient,111.6,0
0,0,2015-08-11,0,2,0,0,A,A,0,No Deposit,Transient-Party,144,0
0,2,2015-08-11,0,2,0,0,A,D,0,No Deposit,Transient,90,1
0,0,2015-08-11,0,2,0,0,A,D,0,No Deposit,Transient,0,0
0,0,2015-08-11,0,2,0,0,A,D,0,No Deposit,Transient,124,0
0,1,2015-08-11,0,3,0,0,A,A,0,No Deposit,Transient,114,0
1,3,2015-08-11,0,3,0,0,F,F,0,No Deposit,Transient,153,0
0,1,2015-08-11,0,3,0,0,A,A,0,No Deposit,Contract,105,3
1,147,2015-08-11,0,3,0,0,A,A,0,No Deposit,Transient,76.5,0
0,1,2015-08-11,0,1,0,0,A,A,0,No Deposit,Transient-Party,70,0
1,89,2015-08-11,0,4,0,0,A,A,0,No Deposit,Transient,76.5,0
0,1,2015-08-11,3,10,0,0,A,A,0,No Deposit,Transient,106.54,0
0,5,2015-08-12,0,1,0,0,A,A,0,No Deposit,Transient,75,0
0,0,2015-08-12,0,1,0,0,A,A,0,No Deposit,Transient,70,0
1,0,2015-08-12,0,1,0,0,A,A,0,No Deposit,Transient,62.8,0
0,41,2015-08-12,0,2,0,0,A,D,1,No Deposit,Transient-Party,84,1
0,2,2015-08-12,0,2,0,0,F,F,0,No Deposit,Contract,153,1
0,41,2015-08-12,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,41,2015-08-12,0,2,0,0,A,D,0,No Deposit,Transient-Party,62,0
0,1,2015-08-12,3,9,0,0,A,A,2,No Deposit,Transient-Party,75,0
0,3,2015-08-13,0,1,0,0,F,F,0,No Deposit,Contract,153,0
0,2,2015-08-13,0,2,0,0,A,A,0,No Deposit,Transient,75,0
0,8,2015-08-13,0,3,0,0,A,A,0,No Deposit,Contract,90,2
0,119,2015-08-13,0,3,0,0,A,D,0,No Deposit,Transient-Party,76.5,2
1,0,2015-08-13,0,2,0,0,D,D,0,No Deposit,Transient,89,1
0,3,2015-08-13,2,4,0,0,A,A,0,No Deposit,Contract,94,2
0,39,2015-08-14,0,2,0,0,A,D,1,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,1,No Deposit,Transient-Party,87,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
0,39,2015-08-14,0,2,0,0,A,A,1,No Deposit,Transient-Party,109,0
1,87,2015-08-14,0,1,0,0,A,A,0,Non Refund,Transient,12,0
0,39,2015-08-14,0,2,0,0,A,D,0,No Deposit,Transient-Party,109,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
0,39,2015-08-14,0,2,0,0,A,D,1,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,1,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,1,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
0,39,2015-08-14,0,2,0,0,A,D,0,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,D,1,No Deposit,Transient-Party,87,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,39,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,101.5,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
1,0,2015-08-14,0,2,0,0,A,A,0,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,D,1,No Deposit,Transient-Party,109,0
0,39,2015-08-14,0,2,0,0,A,A,1,No Deposit,Transient-Party,87,0
0,1,2015-08-14,1,2,0,0,B,B,2,No Deposit,Transient,0,0
0,1,2015-08-14,1,2,0,0,B,B,2,No Deposit,Transient,0,0
0,5,2015-08-15,0,1,0,0,A,E,0,No Deposit,Transient,124,2
0,40,2015-08-15,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,40,2015-08-15,2,2,0,0,A,E,0,No Deposit,Transient-Party,60,0
0,40,2015-08-15,2,2,0,0,A,A,1,No Deposit,Transient-Party,60,0
0,40,2015-08-15,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,40,2015-08-15,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,40,2015-08-15,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,40,2015-08-15,2,2,0,0,A,D,1,No Deposit,Transient-Party,84,1
1,40,2015-08-15,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,131,2015-08-15,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,131,2015-08-15,2,1,0,0,A,A,1,No Deposit,Transient-Party,36.25,0
1,131,2015-08-15,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,131,2015-08-15,2,1,0,0,A,E,0,No Deposit,Transient-Party,94.5,0
1,131,2015-08-15,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,131,2015-08-15,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,1,2015-08-15,2,1,0,0,A,E,1,No Deposit,Transient-Party,138.5,1
0,131,2015-08-15,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,131,2015-08-15,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,131,2015-08-15,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,5,2015-08-15,2,1,0,0,A,D,0,No Deposit,Transient-Party,94.5,0
0,6,2015-08-16,2,1,0,0,A,D,0,No Deposit,Transient,90,2
0,6,2015-08-16,3,5,0,0,A,A,0,No Deposit,Transient,85.63,2
0,0,2015-08-17,1,0,0,0,A,D,1,No Deposit,Transient,124,0
0,0,2015-08-17,1,0,0,0,A,A,1,No Deposit,Transient,114,0
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,46,2015-08-17,1,1,0,0,A,D,1,No Deposit,Transient-Party,84,2
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,2,2015-08-17,1,2,0,0,A,A,2,No Deposit,Transient,127.33,1
0,6,2015-08-17,1,2,0,0,A,A,0,No Deposit,Contract,100,2
0,46,2015-08-17,1,3,0,0,A,A,1,No Deposit,Transient-Party,62,1
0,4,2015-08-17,1,3,0,0,A,D,0,No Deposit,Contract,122,3
0,2,2015-08-17,1,3,0,0,A,A,0,No Deposit,Transient,122,2
1,3,2015-08-17,1,3,0,0,A,A,0,No Deposit,Transient,99,0
1,11,2015-08-17,1,4,0,0,A,A,0,No Deposit,Contract,90,2
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,46,2015-08-17,1,1,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,46,2015-08-17,1,1,0,0,A,A,1,No Deposit,Transient-Party,60,0
0,5,2015-08-17,3,10,0,0,A,A,0,No Deposit,Contract,92.31,2
1,1,2015-08-18,0,1,0,0,A,A,0,No Deposit,Transient,114,0
0,0,2015-08-18,0,1,0,0,A,A,0,No Deposit,Transient,124,0
1,4,2015-08-18,0,1,0,0,A,A,0,No Deposit,Transient,84,0
0,11,2015-08-18,0,2,0,0,A,A,0,No Deposit,Contract,90,1
0,7,2015-08-18,0,3,0,0,F,F,1,No Deposit,Contract,162,0
0,1,2015-08-18,0,4,0,0,A,A,0,No Deposit,Transient,109.8,0
0,15,2015-08-18,0,4,0,0,A,A,0,No Deposit,Transient,75,0
0,4,2015-08-18,2,10,0,0,A,E,0,No Deposit,Contract,99.33,0
1,5,2015-08-18,3,10,0,0,A,D,0,No Deposit,Contract,98.62,2
